Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Location 
502542,16,BELLEVUE DIALYSIS CENTER,3535 FACTORIA BLVD SE  #150,,BELLEVUE,WA,98006,KING,(425) 641-6514,Profit,TRUE,DAVITA,TRUE,10,TRUE,TRUE,FALSE,"(47.560192, -122.151342)"
502523,16,NKC WEST SEATTLE KIDNEY CENTER,"4045 DELRIDGE WAY SW, SUITE 100",,SEATTLE,WA,98106,KING,(206) 923-3562,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,20,TRUE,FALSE,FALSE,"(47.537664, -122.354954)"
502509,16,NKC SEATAC KIDNEY CENTER,17900 INTERNATIONAL BLVD STE 301,,SEATAC,WA,98188,KING,(206) 901-8700,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,33,TRUE,TRUE,TRUE,"(47.449726, -122.276826)"
502507,16,NKC SCRIBNER KIDNEY CENTER,"2150 N 107TH, SUITE 160",,SEATTLE,WA,98133,KING,(206) 363-5090,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,22,TRUE,FALSE,FALSE,"(47.739969, -122.343983)"
502526,16,KENT COMMUNITY DIALYSIS CENTER,21851 84TH AVE S,,KENT,WA,98032,KING,(253) 872-5474,Profit,TRUE,DAVITA,TRUE,19,TRUE,TRUE,FALSE,"(47.390601, -122.261321)"
502513,16,FEDERAL WAY COMMUNITY DIALYSIS CENTER,1015 S 348TH ST,,FEDERAL WAY,WA,98003,KING,(253) 661-9055,Profit,TRUE,DAVITA,TRUE,13,TRUE,TRUE,TRUE,"(47.310006, -122.313367)"
502540,16,NKC SNOQUALMIE RIDGE KIDNEY CENTER,35131 SE DOUGLAS ST SUITE 113,,SNOQUALMIE,WA,98065,KING,(425) 396-7090,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,9,TRUE,FALSE,FALSE,"(47.539931, -121.819086)"
503300,16,SEATTLE CHILDRENS HOSPITAL DIALYSIS,4800 SAND POINT WAY NE OC.9.820,,SEATTLE,WA,98105,KING,(206) 987-3985,Non-Profit,FALSE,INDEPENDENT,FALSE,7,TRUE,TRUE,TRUE,"(47.663771, -122.298657)"
502520,16,NKC AUBURN KIDNEY CENTER,1501 WEST VALLEY HIGHWAY N,,AUBURN,WA,98001,KING,(253) 804-8323,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,24,TRUE,TRUE,FALSE,"(47.308313, -122.266685)"
502525,16,OLYMPIC VIEW DIALYSIS CENTER,"125 16TH AVE E, CSB-5",,SEATTLE,WA,98112,KING,(206) 323-8900,Profit,TRUE,DAVITA,TRUE,25,TRUE,TRUE,TRUE,"(47.631708, -122.296466)"
502570,16,NKC ENUMCLAW KIDNEY CENTER,857 ROOSEVELT AVE E,,ENUMCLAW,WA,98022,KING,(360) 825-2050,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,8,TRUE,TRUE,TRUE,"(47.192214, -121.705437)"
502556,16,NKC BROADWAY KIDNEY CENTER,700 BROADWAY,,SEATTLE,WA,98122,KING,(206) 292-2705,Non-Profit,TRUE,NORTHWEST KIDNEY CENTERS,TRUE,15,TRUE,FALSE,FALSE,"(47.61065, -122.303413)"
502544,16,WESTWOOD DIALYSIS CENTER,2615 SW TRENTON ST,,SEATTLE,WA,98126,KING,(206) 938-6738,Profit,TRUE,DAVITA,TRUE,7,TRUE,TRUE,TRUE,"(47.548552, -122.374864)"
502579,16,RAINIER VIEW DIALYSIS CENTER,1822 112TH ST EAST SUITE A,,TACOMA,WA,98445,PIERCE,(253) 539-5659,Profit,TRUE,DAVITA,TRUE,10,TRUE,FALSE,FALSE,"(47.139771, -122.41101)"
502566,16,PARKLAND DIALYSIS CENTER,311 140TH ST S,,TACOMA,WA,98444,PIERCE,(253) 536-5961,Profit,TRUE,DAVITA,TRUE,21,TRUE,TRUE,TRUE,"(47.1543, -122.447791)"
502587,16,"RENAL CARE GROUP NORTHWEST, INC.",702 SOUTH HILL PARK DR,,PUYALLUP,WA,98373,PIERCE,(253) 445-7520,Profit,TRUE,FRESENIUS MEDICAL CARE,TRUE,12,TRUE,FALSE,FALSE,"(47.149041, -122.324308)"
502589,16,"RENAL CARE GROUP NORTHWEST, INC.",1415 E 72ND ST,,TACOMA,WA,98404,PIERCE,(253) 474-2310,Profit,TRUE,FRESENIUS MEDICAL CARE,TRUE,14,TRUE,FALSE,FALSE,"(47.211873, -122.412949)"
502590,16,"RENAL CARE GROUP NORTHWEST, INC.",5825 TACOMA MALL BLVD STE 103,,TACOMA,WA,98409,PIERCE,(253) 671-9937,Profit,TRUE,FRESENIUS MEDICAL CARE,TRUE,22,TRUE,TRUE,FALSE,"(47.211446, -122.480106)"
502554,16,GRAHAM DIALYSIS CENTER,10219 196TH ST CT E STE C,,GRAHAM,WA,98338,PIERCE,(253) 875-5382,Profit,TRUE,DAVITA,FALSE,8,TRUE,FALSE,FALSE,"(47.02748, -122.288044)"
502519,16,LAKEWOOD COMMUNITY DIALYSIS CENTER,5919 LAKEWOOD TOWNE CENTER BLVD SW  #A,,LAKEWOOD,WA,98499,PIERCE,(253) 512-2400,Profit,TRUE,DAVITA,TRUE,11,TRUE,TRUE,TRUE,"(47.165685, -122.505158)"
502534,16,PUYALLUP COMMUNITY DIALYSIS CENTER,716 SOUTH HILL PARK DRIVE,SUITE C,PUYALLUP,WA,98373,PIERCE,(253) 845-2127,Profit,TRUE,DAVITA,TRUE,16,TRUE,TRUE,FALSE,"(47.149041, -122.324308)"
502588,16,"RENAL CARE GROUP NORTHWEST, INC.",4700 POINT FOSDICK DR NW STE 101,,GIG HARBOR,WA,98335,PIERCE,(253) 851-0330,Profit,TRUE,FRESENIUS MEDICAL CARE,TRUE,12,TRUE,FALSE,TRUE,"(47.300296, -122.612932)"
502551,16,TACOMA DIALYSIS CENTER,3401 S 19TH ST,,TACOMA,WA,98405,PIERCE,(253) 573-1600,Profit,TRUE,DAVITA,TRUE,13,TRUE,TRUE,TRUE,"(47.247509, -122.469847)"
502591,16,"RENAL CARE GROUP NORTHWEST, INC.",1717 SOUTH J STREET,,TACOMA,WA,98405,PIERCE,(253) 627-1995,Profit,TRUE,FRESENIUS MEDICAL CARE,TRUE,20,TRUE,TRUE,TRUE,"(47.247509, -122.469847)"
502561,16,MILL CREEK DIALYSIS CENTER,18001 BOTHELL EVERETT HWY STE 112,,BOTHELL,WA,98012,SNOHOMISH,(425) 481-5258,Profit,TRUE,DAVITA,TRUE,9,TRUE,TRUE,TRUE,"(47.843376, -122.201515)"
502521,16,PUGET SOUND KC SOUTH,21309 44TH AVE W,,MOUNTLAKE TERRACE,WA,98043,SNOHOMISH,(425) 744-1095,Non-Profit,TRUE,PUGET SOUND KIDNEY CENTERS,TRUE,31,TRUE,TRUE,TRUE,"(47.792041, -122.306552)"
502577,16,PILCHUCK DIALYSIS,1250 STATE AVE,,MARYSVILLE,WA,98270,SNOHOMISH,(360) 651-0780,Profit,TRUE,DAVITA,FALSE,8,TRUE,TRUE,FALSE,"(48.060301, -122.148057)"
502560,16,EVERETT DIALYSIS CENTER,8130 EVERGREEN WAY STE C,,EVERETT,WA,98203,SNOHOMISH,(425) 353-6036,Profit,TRUE,DAVITA,TRUE,21,TRUE,TRUE,TRUE,"(47.943014, -122.227707)"
502503,16,PUGET SOUND KIDNEY CENTER,1005 PACIFIC AVE,,EVERETT,WA,98201,SNOHOMISH,(425) 259-5195,Non-Profit,TRUE,PUGET SOUND KIDNEY CENTERS,TRUE,25,TRUE,TRUE,TRUE,"(47.988773, -122.195157)"
502576,16,PUGET SOUND KIDNEY CENTER - MONROE,18121 149TH ST SE,,MONROE,WA,98272,SNOHOMISH,(360) 863-3313,Non-Profit,TRUE,PUGET SOUND KIDNEY CENTERS,TRUE,12,TRUE,TRUE,TRUE,"(47.853585, -121.92791)"
502546,16,PUGET SOUND KIDNEY CENTER SMOKEY POINT,18828 SMOKEY POINT BLVD,,ARLINGTON,WA,98223,SNOHOMISH,(360) 454-5280,Non-Profit,TRUE,PUGET SOUND KIDNEY CENTERS,TRUE,28,TRUE,TRUE,TRUE,"(48.19401, -122.045204)"
